id_client,state_name,first_name,gender,job_title,category,category_norm,price,card_type
1,TX,Domingo,male,Structural Analysis Engineer,Outdoors,OUTDOORS,16.97,mastercard
2,MI,Russell,male,Speech Pathologist,Grocery,GROCERY,143.39,mastercard
3,AL,Kimble,male,Account Coordinator,Music,MUSIC,37.64,mastercard
4,IL,Barnabas,male,General Manager,Jewelry,JEWELRY,8.51,mastercard
5,MN,Tanney,female,VP Marketing,Grocery,GROCERY,28.42,mastercard
5,MN,Tanney,female,VP Marketing,Outdoors,OUTDOORS,61.95,mastercard
6,VA,Launce,male,Automation Specialist I,Outdoors,OUTDOORS,15.96,mastercard
7,CO,Adham,male,Project Manager,Beauty,BEAUTY,149.02,mastercard
8,TX,Dante,male,Geological Engineer,Games,GAMES,97.38,mastercard
9,PA,Hi,female,Senior Cost Accountant,Outdoors,OUTDOORS,139.96,mastercard
10,CA,Carmine,female,Statistician II,Shoes,SHOES,55.45,mastercard
11,NC,Waring,female,Software Consultant,Jewelry,JEWELRY,96.16,mastercard
12,CA,Cori,female,Senior Sales Associate,Computers,COMPUTERS,104.93,mastercard
13,TX,Rodge,genderfluid,Health Coach III,Baby,BABY,92.52,mastercard
14,TX,Nikolos,male,Geologist III,Grocery,GROCERY,108.42,mastercard
15,DC,Guy,female,Senior Cost Accountant,Shoes,SHOES,144.17,mastercard
16,TX,Anton,male,Media Manager II,Computers,COMPUTERS,5.45,mastercard
17,VA,Willem,female,Media Manager II,Industrial,INDUSTRIAL,27.87,mastercard
17,VA,Willem,female,Media Manager II,Sports,SPORTS,5.12,mastercard
18,OH,Timothy,female,Marketing Manager,Automotive,AUTOMOTIVE,116.19,mastercard
18,OH,Timothy,female,Marketing Manager,Games,GAMES,29.3,mastercard
19,MD,Sheridan,male,Assistant Manager,Computers,COMPUTERS,3.72,mastercard
19,MD,Sheridan,male,Assistant Manager,Toys,TOYS,9.34,mastercard
20,LA,Kalil,genderfluid,Senior Editor,Kids,KIDS,36.02,mastercard
20,LA,Kalil,genderfluid,Senior Editor,Music,MUSIC,94.53,mastercard
21,LA,Augusto,female,Research Nurse,Computers,COMPUTERS,16.72,mastercard
21,LA,Augusto,female,Research Nurse,Outdoors,OUTDOORS,31.34,mastercard
22,LA,Duffie,female,Information Systems Manager,Home,HOME,72.98,mastercard
22,LA,Duffie,female,Information Systems Manager,Tools,TOOLS,32.56,mastercard
23,FL,Clyde,female,Dental Hygienist,Beauty,BEAUTY,6.84,mastercard
23,FL,Clyde,female,Dental Hygienist,Sports,SPORTS,72.91,mastercard
24,GA,Harcourt,female,Web Designer III,Beauty,BEAUTY,76.3,mastercard
24,GA,Harcourt,female,Web Designer III,Grocery,GROCERY,10.44,mastercard
25,LA,Elwyn,male,Senior Developer,Clothing,CLOTHING,85.65,mastercard
25,LA,Elwyn,male,Senior Developer,Music,MUSIC,97.94,mastercard
26,LA,Desmund,female,Senior Sales Associate,Industrial,INDUSTRIAL,133.3,mastercard
26,LA,Desmund,female,Senior Sales Associate,Music,MUSIC,77.58,mastercard
27,TX,Emelen,male,Project Manager,Baby,BABY,69.98,mastercard
27,TX,Emelen,male,Project Manager,Baby,BABY,129.78,mastercard
28,MI,Mattheus,female,Pharmacist,Electronics,ELECTRONICS,64.54,mastercard
28,MI,Mattheus,female,Pharmacist,Jewelry,JEWELRY,48.58,mastercard
29,MI,Jonas,male,Cost Accountant,Home,HOME,142.53,mastercard
29,MI,Jonas,male,Cost Accountant,Tools,TOOLS,108.82,mastercard
30,OH,Moishe,female,Human Resources Assistant III,Health,HEALTH,51.88,mastercard
30,OH,Moishe,female,Human Resources Assistant III,Industrial,INDUSTRIAL,99.03,mastercard
31,NE,Reinwald,male,Sales Representative,Toys,TOYS,68.69,mastercard
31,NE,Reinwald,male,Sales Representative,Toys,TOYS,87.62,mastercard
32,CA,Tobin,male,Food Chemist,Home,HOME,141.11,mastercard
32,CA,Tobin,male,Food Chemist,Kids,KIDS,68.66,mastercard
33,FL,Bo,male,VP Product Management,Books,BOOKS,68.77,mastercard
33,FL,Bo,male,VP Product Management,Industrial,INDUSTRIAL,80.97,mastercard
34,WA,Sherm,male,Senior Financial Analyst,Home,HOME,15.12,mastercard
34,WA,Sherm,male,Senior Financial Analyst,Industrial,INDUSTRIAL,24.8,mastercard
35,VA,Mile,male,Occupational Therapist,Movies,MOVIES,67.89,mastercard
35,VA,Mile,male,Occupational Therapist,Movies,MOVIES,96.45,mastercard
36,TX,Turner,male,Automation Specialist IV,Health,HEALTH,123.38,mastercard
36,TX,Turner,male,Automation Specialist IV,Industrial,INDUSTRIAL,55.46,mastercard
37,ND,Cornie,genderqueer,Editor,Electronics,ELECTRONICS,72.93,mastercard
37,ND,Cornie,genderqueer,Editor,Home,HOME,36.27,mastercard
37,ND,Cornie,genderqueer,Editor,Home,HOME,58.77,mastercard
38,PA,Rab,male,Assistant Manager,Clothing,CLOTHING,83.07,mastercard
38,PA,Rab,male,Assistant Manager,Clothing,CLOTHING,117.56,mastercard
38,PA,Rab,male,Assistant Manager,Jewelry,JEWELRY,121.89,mastercard
39,MA,Codie,female,Financial Analyst,Baby,BABY,64.3,mastercard
39,MA,Codie,female,Financial Analyst,Clothing,CLOTHING,134.15,mastercard
39,MA,Codie,female,Financial Analyst,Home,HOME,112.25,mastercard
40,OR,Scott,female,Civil Engineer,Jewelry,JEWELRY,53.63,mastercard
40,OR,Scott,female,Civil Engineer,Outdoors,OUTDOORS,9.48,mastercard
40,OR,Scott,female,Civil Engineer,Sports,SPORTS,139.0,mastercard
41,MS,Hilary,male,Design Engineer,Beauty,BEAUTY,85.16,mastercard
41,MS,Hilary,male,Design Engineer,Books,BOOKS,82.78,mastercard
42,CA,Keir,female,Senior Editor,Automotive,AUTOMOTIVE,84.32,mastercard
42,CA,Keir,female,Senior Editor,Movies,MOVIES,132.11,mastercard
43,TX,Raffarty,male,General Manager,Computers,COMPUTERS,59.74,mastercard
43,TX,Raffarty,male,General Manager,Shoes,SHOES,35.57,mastercard
44,CA,Federico,non-binary,Nurse Practicioner,Automotive,AUTOMOTIVE,105.26,mastercard
44,CA,Federico,non-binary,Nurse Practicioner,Home,HOME,29.0,mastercard
45,FL,Karlan,female,Financial Advisor,Automotive,AUTOMOTIVE,4.34,mastercard
45,FL,Karlan,female,Financial Advisor,Shoes,SHOES,53.56,mastercard
46,PA,Demetris,female,Programmer Analyst IV,Garden,GARDEN,132.73,mastercard
46,PA,Demetris,female,Programmer Analyst IV,Tools,TOOLS,136.53,mastercard
47,AZ,Lisle,female,Web Designer I,Home,HOME,78.99,mastercard
47,AZ,Lisle,female,Web Designer I,Industrial,INDUSTRIAL,106.66,mastercard
48,MS,Rabi,genderfluid,Director of Sales,Grocery,GROCERY,51.27,mastercard
48,MS,Rabi,genderfluid,Director of Sales,Health,HEALTH,93.46,mastercard
49,NY,Jareb,male,Sales Associate,Books,BOOKS,147.63,mastercard
49,NY,Jareb,male,Sales Associate,Sports,SPORTS,18.23,mastercard
50,NV,Sergent,male,Geologist II,Jewelry,JEWELRY,128.95,mastercard
50,NV,Sergent,male,Geologist II,Kids,KIDS,145.58,mastercard
51,NY,Reinaldo,female,Editor,Garden,GARDEN,53.74,mastercard
51,NY,Reinaldo,female,Editor,Shoes,SHOES,81.44,mastercard
52,OR,Zebadiah,female,Desktop Support Technician,Computers,COMPUTERS,66.4,mastercard
52,OR,Zebadiah,female,Desktop Support Technician,Health,HEALTH,64.7,mastercard
53,DC,Shurlock,polygender,Junior Executive,Beauty,BEAUTY,60.66,mastercard
53,DC,Shurlock,polygender,Junior Executive,Games,GAMES,17.67,mastercard
54,WV,Chip,agender,Recruiting Manager,Industrial,INDUSTRIAL,9.11,mastercard
54,WV,Chip,agender,Recruiting Manager,Industrial,INDUSTRIAL,13.38,mastercard
55,TX,Alford,female,Human Resources Assistant I,Baby,BABY,41.92,mastercard
55,TX,Alford,female,Human Resources Assistant I,Industrial,INDUSTRIAL,100.62,mastercard
56,MO,Marius,male,Senior Cost Accountant,Books,BOOKS,132.4,mastercard
56,MO,Marius,male,Senior Cost Accountant,Home,HOME,40.89,mastercard
57,MA,Marmaduke,non-binary,Sales Associate,Computers,COMPUTERS,113.68,mastercard
