,nome,cpf,idade,data,endereco,estado,pais
0,Cecilia Costela,175.940.628-76,38,24/04/1987,"Ladeira Liz Silva, 445
Milionario
24906845 Albuquerque de Aragão / ES",Amapá,Brasil
1,Carlos Eduardo Rodrigues,814.937.650-00,21,22/10/2003,"Passarela de Pimenta, 75
Nossa Senhora Da Conceição
47760517 Abreu / ES",Amazonas,Brasil
2,Dra. Laís Carvalho,683.052.497-00,43,29/09/1981,"Estrada Valentim Mendes, 89
Guarani
50206326 Moraes da Praia / AP",Bahia,Brasil
3,Sr. Yuri Camargo,281.369.745-19,41,21/06/1984,"Via de Ribeiro, 71
Vila Aeroporto
08283909 Correia / SC",Roraima,Brasil
4,José Teixeira,867.204.139-96,25,01/04/2000,"Esplanada Nascimento, 8
Vila Puc
38818-940 Novaes / CE",Santa Catarina,Brasil
5,Léo Casa Grande,948.502.637-47,40,24/04/1985,"Pátio de da Mata, 8
Esperança
35302-302 Nunes / DF",Rio Grande do Sul,Brasil
6,Noah Mendes,961.830.742-50,51,28/09/1973,"Lagoa Laura Rocha, 92
Novo Tupi
39702-539 Alves de Vargas / MG",Alagoas,Brasil
7,Camila Nogueira,301.785.469-84,49,17/04/1976,"Viela Vitor Gabriel Rios, 97
Nossa Senhora Aparecida
57523-618 das Neves / GO",Espírito Santo,Brasil
8,João Miguel Rocha,381.940.756-10,60,09/01/1965,"Vereda Maria Fernanda Azevedo, 8
Vila Rica
64271-255 Peixoto das Pedras / RO",Rondônia,Brasil
9,Diego Rodrigues,716.203.958-86,25,14/04/2000,"Rua Nicole Silva, 41
Vila Pinho
00304-727 Câmara / RS",Rio Grande do Sul,Brasil
